Profile;Weekday;Hour;Occupancy;Lighting;Appliances
[General] Off;True;4;0;0;0
[General] Off;True;5;0;0;0
[General] Off;True;6;0;0;0
[General] Off;True;7;0;0;0
[General] Off;True;8;0;0;0
[General] Off;True;9;0;0;0
[General] Off;True;10;0;0;0
[General] Off;True;11;0;0;0
[General] Off;True;12;0;0;0
[General] Off;True;13;0;0;0
[General] Off;True;14;0;0;0
[General] Off;True;15;0;0;0
[General] Off;True;16;0;0;0
[General] Off;True;17;0;0;0
[General] Off;True;18;0;0;0
[General] Off;True;19;0;0;0
[General] Off;True;20;0;0;0
[General] Off;True;21;0;0;0
[General] Off;True;22;0;0;0
[General] Off;True;23;0;0;0
[General] Off;True;24;0;0;0
[General] Off;False;1;0;0;0
[General] Off;False;2;0;0;0
[General] Off;False;3;0;0;0
[General] Off;False;4;0;0;0
[General] Off;False;5;0;0;0
[General] Off;False;6;0;0;0
[General] Off;False;7;0;0;0
[General] Off;False;8;0;0;0
[General] Off;False;9;0;0;0
[General] Off;False;10;0;0;0
[General] Off;False;11;0;0;0
[General] Off;False;12;0;0;0
[General] Off;False;13;0;0;0
[General] Off;False;14;0;0;0
[General] Off;False;15;0;0;0
[General] Off;False;16;0;0;0
[General] Off;False;17;0;0;0
[General] Off;False;18;0;0;0
[General] Off;False;19;0;0;0
[General] Off;False;20;0;0;0
[General] Off;False;21;0;0;0
[General] Off;False;22;0;0;0
[General] Off;False;23;0;0;0
[General] Off;False;24;0;0;0
